task_id,output,acceptance,task_kind,build_tool,runtime_approach,eval_ids,event_ids,lever_ids
T-001,Accepted scope and list of corrections,Each actual scene and proposed addition is understood,Judgment,M-HUMAN,No runtime model,E-049,EV-049,L-001
T-002,Project/repository pointer with staging boundary,No rebuild of working backend without evidence,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-003,Confirmed owner/backup and weekly capacity,Each founder explicitly accepts their initial queue,Coordination,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-004,Reviewed initial contracts,"IDs, data boundaries and rollback versions agreed",Judgment,M-ASTRA,No runtime model,E-054,EV-049,L-001
T-005,Golden fixture and approved expected outputs,No customer records required to start,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-006,Unscored fields replaced only when evidence supports them,Four Pillars gaps become tasks before agent autonomy,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-01,One-page decision: delight in personal gifts; adult control; sustainable cost,Founders approve constraints and measurable outcomes,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-02,Verified Lovable/project/repo/backend map,Identify authoritative production project without making changes,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-03,Feature ledger with implemented/tested/missing states,"Accounts, credits, grants, PIN and draft/live separation each evidenced",Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-04,Versioned scene and asset architecture decision,No new bespoke site per card,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-05,Accepted owners and hours recorded by each founder,No guessed availability or fixed delivery dates,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-06,One synthetic child-friendly card through create/play/export,Every critical dependency has a named owner,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-07,Meeting agenda and one selected priority per founder,"Review blocked tasks, outcomes and next experiment",Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-SCOPE-08,"New rows have component, eval, event, lever and rollback",Catalogue stays extensible as unknown work is discovered,Judgment,M-HUMAN,No runtime model,E-054,EV-049,L-001
T-ACCOUNT-01,Auth test evidence for separate founder accounts,Adult creator works; no child login required,Pattern,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-02,Expired-session and password recovery scenarios,Draft resume works without cross-account access,Pattern,M-SOL,Deterministic server policy,E-002,EV-038,L-023
