task_id,phase,area,component_id,task,proposed_owner,status,size,depends_on,priority
T-001,P0 Define and verify,Kickoff,C-SCOPE,Review the inspected reference inventory together,Jordan,Backlog,S: 1–2h proposed,,P0
T-002,P0 Define and verify,Kickoff,C-SCOPE,Confirm the authoritative product project and branch,Brian Lapp,Backlog,S: 1–2h proposed,T-001,P0
T-003,P0 Define and verify,Kickoff,C-SCOPE,Assign and accept founder task ownership,Jordan,Backlog,S: 1–2h proposed,T-002,P0
T-004,P0 Define and verify,Kickoff,C-SCOPE,"Approve the schema, telemetry and evaluation contracts",Brian Lapp,Backlog,S: 1–2h proposed,T-003,P0
T-005,P0 Define and verify,Kickoff,C-SCOPE,Choose one synthetic child-friendly golden card,Tim Miller,Backlog,S: 1–2h proposed,T-004,P0
T-006,P0 Define and verify,Kickoff,C-SCOPE,Run initial readiness evidence review,Jordan,Backlog,S: 1–2h proposed,T-005,P0
T-SCOPE-01,P0 Define and verify,Scope and governance,C-SCOPE,Confirm the purpose and non-goals,Jordan,Backlog,S: 1–2h proposed,T-004,P0
T-SCOPE-02,P0 Define and verify,Scope and governance,C-SCOPE,Record current product and repository ownership,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-01,P0
T-SCOPE-03,P0 Define and verify,Scope and governance,C-SCOPE,Compare reported features with actual staging behavior,Jordan,To verify,S: 1–2h proposed,T-SCOPE-02,P0
T-SCOPE-04,P0 Define and verify,Scope and governance,C-SCOPE,Agree one shared Player and JSON spec boundary,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-03,P0
T-SCOPE-05,P0 Define and verify,Scope and governance,C-SCOPE,Confirm founders’ proposed responsibilities and weekly capacity,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-04,P0
T-SCOPE-06,P0 Define and verify,Scope and governance,C-SCOPE,Approve the first end-to-end slice,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-05,P0
T-SCOPE-07,P0 Define and verify,Scope and governance,C-SCOPE,Set a weekly review and work-in-progress limit,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-06,P0
T-SCOPE-08,P0 Define and verify,Scope and governance,C-SCOPE,Create a change-intake rule,Jordan,Backlog,S: 1–2h proposed,T-SCOPE-07,P0
T-ACCOUNT-01,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Verify adult signup and sign-in,Brian Lapp,To verify,S: 1–2h proposed,T-004,P0
T-ACCOUNT-02,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Verify session expiry and recovery,Brian Lapp,To verify,S: 1–2h proposed,T-ACCOUNT-01,P0
T-ACCOUNT-03,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Separate creator grant from administrator role,Brian Lapp,Backlog,S: 1–2h proposed,T-ACCOUNT-02,P0
T-ACCOUNT-04,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Replace any monthly-credit workaround for approved family,Brian Lapp,Backlog,S: 1–2h proposed,T-ACCOUNT-03,P0
T-ACCOUNT-05,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Verify ordinary courtesy credit debit,Brian Lapp,To verify,S: 1–2h proposed,T-ACCOUNT-04,P0
T-ACCOUNT-06,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Implement auditable grant issue and revocation,Brian Lapp,Backlog,M: 2–4h proposed,T-ACCOUNT-05,P0
T-ACCOUNT-07,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Verify recipient isolation,Brian Lapp,To verify,S: 1–2h proposed,T-ACCOUNT-06,P0
T-ACCOUNT-08,P1 Shared foundation,Adult accounts and grants,C-ACCOUNT,Define account closure and published-gift treatment,Brian Lapp,Backlog,S: 1–2h proposed,T-ACCOUNT-07,P0
T-EV-001,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test creator_started,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-002,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test interview_step_saved,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-003,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test interview_validation_failed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-004,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test generation_requested,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-005,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test generation_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-006,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test generation_failed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-007,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test review_decided,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-008,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test card_published,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-009,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test card_opened,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-010,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test boot_started,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-011,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test boot_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-012,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test scene_entered,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-013,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test scene_exited,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-014,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test scene_action,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-015,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test scene_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-016,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test navigation_used,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-017,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test audio_requested,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-018,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test audio_started,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-019,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test audio_stopped,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-020,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test audio_error,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-021,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test renderer_fallback,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-022,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test asset_load_result,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-023,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test card_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-024,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_maker_opened,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-025,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_preview_ready,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-026,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_export_started,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-027,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_export_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-028,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_export_failed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-029,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_handoff_requested,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
